TAXON_ID,SCIENTIFIC_NAME,COMMON_NAME,AUTHORITY,PRIMARY_DISCIPLINE,ALL_DISCIPLINE_CODES,ORIGIN,TREATIES,SHORT_NAME,TAXON_LEVEL_CDE,PARENT_TAXON_ID,PARENT_TAXON_LEVEL_CDE,TAXON_TYPE,NVIS_GROWTHFORM,FFG_ACT_STATUS,EPBC_ACT_STATUS,VIC_ADVISORY_STATUS,SCIENTIFIC_NME_SYNONYM,COMMON_NME_SYNONYM,RESTRICTED_FLAG,PRINT_ORDER_NUM,LAST_MOD,EXTRACT_DATE
4714,Cyprinus carpio var. mirror,Mirror Carp,"Linnaeus, 1758",Aquatic fauna,[af][tf][ai][ma],Introduced,,cyp car,spec,4712,gen,Fish,,,,,Cyprinus carpio var. mirror,,,,20120820,14/10/2016
5115,Dicotylichthys punctulatus,Threebar Porcupinefish,"Kaup, 1855",Aquatic fauna,[af],,,,spec,5114,gen,Fish,,,,,"Dicotylichthys punctulatus punctulatus, Atopomycterus diversispinis, Dicotylichthys myersi","Balloonfish, Myer's Porcupinefish, Spotted  Porcupine Fish",,,20141008,14/10/2016
903050,Dipturus cerva,Whitespotted Skate,,Aquatic fauna,[af][ma],,,,spec,4621,gen,Fish,,,,,Dipturus cerva cerva,,,,20111207,14/10/2016
4622,Dipturus lemprieri,Thornback Skate,,Aquatic fauna,[af],,,,spec,4621,gen,Fish,,,,,Dipturus lemprieri lemprieri,,,,20100916,14/10/2016
903426,Elops hawaiensis,Hawaiian Giant Herring,"Regan, 1909",Aquatic fauna,[af][ma],,,,spec,903425,gen,Fish,,,,,Elops australis,"Banana Fish, Chiro, Giant Herring, Ladyfish, Torres Strait Herring, Tenpounder, Hawaiian Ladyfish",,,20141021,14/10/2016
5135,Emydura macquarii,Murray River Turtle,,Aquatic fauna,[af][tf],,,,spec,526861,gen,Reptiles,,,,Vulnerable,Emydura macquarii,Murray Short-necked Turtle,,,20130702,14/10/2016
1681,Engaeus affinis,Central Highlands Burrowing Crayfish,"Smith & Schuster, 1913",Aquatic fauna,[tf][ai][af],,,eng aff,spec,1673,gen,"Mussels, decopod crustacea",,,,,Engaeus villosus,,,,20140806,14/10/2016
1686,Engaeus australis,Lilly Pilly Burrowing Crayfish,"Riek, 1969",Aquatic fauna,[af][tf][ai],,,eng aus,spec,1673,gen,"Mussels, decopod crustacea",,Rejected,,Vulnerable,,,rest,,20131218,14/10/2016
1680,Engaeus cunicularius,Granular Burrowing Crayfish,"(Erichson, 1846)",Aquatic fauna,[af][ai][tf],,,eng cun,spec,1673,gen,"Mussels, decopod crustacea",,,,,"Astacus (Engaeus) cunicularius, Engaeus quadrimanus, Engaeus cunicularis, Astacus cunicularius",,,,20140806,14/10/2016
1679,Engaeus curvisuturus,Curve-tail Burrowing Crayfish,"Horwitz, 1990",Aquatic fauna,[ai][af][tf],,,eng cur,spec,1673,gen,"Mussels, decopod crustacea",,Listed,,Endangered,,,,,20140806,14/10/2016
1682,Engaeus cymus,North-eastern Burrowing Crayfish,"(Clark, 1936)",Aquatic fauna,[tf][af][ai],,,eng cym,spec,1673,gen,"Mussels, decopod crustacea",,,,,"Austroastacus cymus, Engaeus parvulus",North-eastern Burrowing Crayfish,,,20120817,14/10/2016
1674,Engaeus fultoni,Otway Burrowing Crayfish,"Smith & Schuster, 1913",Aquatic fauna,[tf][ai][af],,,eng ful,spec,1673,gen,"Mussels, decopod crustacea",,,,Vulnerable,Engaeus fossor,,rest,,20131218,14/10/2016
1678,Engaeus hemicirratulus,Gippsland Burrowing Crayfish,"Smith & Schuster, 1913",Aquatic fauna,[ai][tf][af],,,eng hemi,spec,1673,gen,"Mussels, decopod crustacea",,,,Endangered,"Austroastacus hemicirratulus, Engaeus jumbunna",Gippsland Burrowing Crayfish,,,20131218,14/10/2016
1675,Engaeus karnanga,South Gippsland Burrowing Crayfish,"Horwitz, 1990",Aquatic fauna,[ai][tf][af],,,eng kar,spec,1673,gen,"Mussels, decopod crustacea",,,,Endangered,Engaeus karnanga,South Gippsland Burrowing Crayfish,,,20131218,14/10/2016
1677,Engaeus laevis,Richards Burrowing Crayfish,"(Clark, 1941)",Aquatic fauna,[tf][ai][af],,,eng lae,spec,1673,gen,"Mussels, decopod crustacea",,,,,Geocharax laevis,Richards Burrowing Crayfish,,,20120817,14/10/2016
1676,Engaeus lyelli,Upland Burrowing Crayfish,"(Clark, 1936)",Aquatic fauna,[ai][tf][af],,,eng lye,spec,1673,gen,"Mussels, decopod crustacea",,,,,Geocharax lyelli,,,,20121107,14/10/2016
1694,Engaeus mallacoota,Mallacoota Burrowing Crayfish,"Horwitz, 1990",Aquatic fauna,[tf][af][ai],,,eng mal,spec,1673,gen,"Mussels, decopod crustacea",,Listed,,Vulnerable,,,rest,,20131217,14/10/2016
1684,Engaeus merosetosus,Western Burrowing Crayfish,"Horwitz, 1990",Aquatic fauna,[af][tf][ai],,,enf mer,spec,1673,gen,"Mussels, decopod crustacea",,,,Endangered,Engaeus merosetosus,Western Burrowing Crayfish,,,20131218,14/10/2016
1687,Engaeus orientalis,East Gippsland Burrowing Crayfish,"Clark, 1941",Aquatic fauna,[tf][af][ai],,,eng ori,spec,1673,gen,"Mussels, decopod crustacea",,,,,Engaeus orientalis,East Gippsland Burrowing Crayfish,,,20120817,14/10/2016
